사업명,관항,목,세목
충남콘텐츠진흥원 운영,700,101,101-01
지역특화콘텐츠 개발,700,201,201-01
충남콘텐츠산업성장위원회 운영,700,201,201-01
충남 영상·영화산업 육성,700,201,201-01
충남 웹툰산업 육성 및 활성화,700,201,201-01
충남 음악창작소 운영,700,201,201-01
지역기반형 콘텐츠코리아랩 운영,700,201,201-01
창작스튜디오운영,700,201,201-01
충남 이스포츠 메카 조성,700,201,201-01
충남 이스포츠 상설경기장 구축 지원,700,401,401-01
충남 디지털·게임기업 육성,700,201,201-01
충남글로벌게임센터 운영,700,201,201-01
충남콘텐츠기업지원센터 운영,700,201,201-01
충남메타버스지원센터 운영,700,201,201-01
미래 게임 발굴 창작자 양성,700,201,201-01
창조문화산업지원센터창업지원,700,201,201-01
그린스타트업타운 운영,700,201,201-01
천안시 거점형 스마트도시 조성,700,401,401-01
반환금,700,751,751-03
예비비,800,801,801-01
