사업명,본예산(원),추경(원),증감(원),증감(천원)
그린스타트업타운 운영,"2,494,000,000","2,494,000,000",0,0
기업유치인센티브 지원,0,"32,000,000","32,000,000","32,000"
미래 게임 발굴 창작자 양성,"100,000,000","100,000,000",0,0
반환금,0,"758,274,213","758,274,213","758,274"
소계,"20,361,500,000","20,825,641,930","464,141,930","464,142"
영화·드라마 IP 기획개발지원,0,"22,000,000","22,000,000","22,000"
예비비,0,"193,996,127","193,996,127","193,996"
입주기업 환경개선,0,"3,141,930","3,141,930","3,142"
제1호 벤처투자조합 운영,0,"150,000,000","150,000,000","150,000"
지역기반형 콘텐츠코리아랩 운영,"993,500,000","996,500,000","3,000,000","3,000"
지역특화콘텐츠 개발,"1,145,000,000","1,445,000,000","300,000,000","300,000"
창작스튜디오운영,"140,000,000","140,000,000",0,0
창조문화산업지원센터창업지원,"30,000,000","30,000,000",0,0
천안시 거점형 스마트도시 조성,"1,694,000,000","1,694,000,000",0,0
충남 디지털·게임기업 육성,"530,000,000","530,000,000",0,0
충남 영상·영화산업 육성,"640,000,000","640,000,000",0,0
충남 웹툰산업 육성 및 활성화,"130,000,000","130,000,000",0,0
충남 음악창작소 운영,"780,000,000","800,000,000","20,000,000","20,000"
충남 이스포츠 메카 조성,"540,000,000","540,000,000",0,0
충남 이스포츠 상설경기장 구축 지원,"7,426,000,000","7,426,000,000",0,0
충남글로벌게임센터 운영,"2,060,000,000","2,060,000,000",0,0
충남메타버스지원센터 운영,"854,000,000","788,000,000","-66,000,000","-66,000"
충남콘텐츠기업지원센터 운영,"790,000,000","790,000,000",0,0
충남콘텐츠산업성장위원회 운영,"15,000,000","15,000,000",0,0
충남콘텐츠진흥원 운영,"2,280,000,000","2,280,000,000",0,0
